cache,scenario,tool,seconds,files,bytes,files_per_sec,gib_per_sec,filesystem
warm,tiny-small,ripsync-cow,14.811695,100000,1700000,6751.42,0.000107,/
warm,tiny-small,ripsync-cow,14.400433,100000,1700000,6944.24,0.000110,/
warm,tiny-small,ripsync-cow,14.475399,100000,1700000,6908.27,0.000109,/
warm,tiny-small,ripsync-cow,14.561328,100000,1700000,6867.51,0.000109,/
warm,tiny-small,ripsync-cow,14.704441,100000,1700000,6800.67,0.000108,/
warm,tiny-small,ripsync-cow,14.410296,100000,1700000,6939.48,0.000110,/
warm,tiny-small,ripsync-cow,14.585689,100000,1700000,6856.04,0.000109,/
warm,tiny-small,ripsync-cow,14.257205,100000,1700000,7014.00,0.000111,/
warm,tiny-small,ripsync-cow,14.149354,100000,1700000,7067.46,0.000112,/
warm,tiny-small,ripsync-cow,14.253909,100000,1700000,7015.62,0.000111,/
warm,tiny-small,ripsync-nocow,11.309341,100000,1700000,8842.25,0.000140,/
warm,tiny-small,ripsync-nocow,10.906215,100000,1700000,9169.08,0.000145,/
warm,tiny-small,ripsync-nocow,11.414742,100000,1700000,8760.60,0.000139,/
warm,tiny-small,ripsync-nocow,10.916025,100000,1700000,9160.84,0.000145,/
warm,tiny-small,ripsync-nocow,11.303820,100000,1700000,8846.57,0.000140,/
warm,tiny-small,ripsync-nocow,10.800901,100000,1700000,9258.49,0.000147,/
warm,tiny-small,ripsync-nocow,11.355069,100000,1700000,8806.64,0.000139,/
warm,tiny-small,ripsync-nocow,10.925955,100000,1700000,9152.52,0.000145,/
warm,tiny-small,ripsync-nocow,11.265200,100000,1700000,8876.89,0.000141,/
warm,tiny-small,ripsync-nocow,11.160991,100000,1700000,8959.78,0.000142,/
warm,tiny-small,rsync,23.086519,100000,1700000,4331.53,0.000069,/
warm,tiny-small,rsync,22.693653,100000,1700000,4406.52,0.000070,/
warm,tiny-small,rsync,27.729790,100000,1700000,3606.23,0.000057,/
warm,tiny-small,rsync,24.519621,100000,1700000,4078.37,0.000065,/
warm,tiny-small,rsync,24.183943,100000,1700000,4134.97,0.000065,/
warm,tiny-small,rsync,24.412984,100000,1700000,4096.18,0.000065,/
warm,tiny-small,rsync,24.738407,100000,1700000,4042.30,0.000064,/
warm,tiny-small,rsync,24.501768,100000,1700000,4081.34,0.000065,/
warm,tiny-small,rsync,24.559604,100000,1700000,4071.73,0.000064,/
warm,tiny-small,rsync,24.053623,100000,1700000,4157.38,0.000066,/
warm,large,ripsync-cow,0.055184,250,5242880000,4530.26,88.481727,/
warm,large,ripsync-cow,0.049463,250,5242880000,5054.30,98.716714,/
warm,large,ripsync-cow,0.048016,250,5242880000,5206.63,101.691980,/
warm,large,ripsync-cow,0.049974,250,5242880000,5002.61,97.707302,/
warm,large,ripsync-cow,0.106367,250,5242880000,2350.36,45.905477,/
warm,large,ripsync-cow,0.048524,250,5242880000,5152.14,100.627704,/
warm,large,ripsync-cow,0.056805,250,5242880000,4401.00,85.956938,/
warm,large,ripsync-cow,0.050772,250,5242880000,4923.96,96.171048,/
warm,large,ripsync-cow,0.050339,250,5242880000,4966.37,96.999322,/
warm,large,ripsync-cow,0.052263,250,5242880000,4783.52,93.428085,/
warm,large,ripsync-nocow,5.366871,250,5242880000,46.58,0.909806,/
warm,large,ripsync-nocow,2.368974,250,5242880000,105.53,2.061151,/
warm,large,ripsync-nocow,1.977220,250,5242880000,126.44,2.469534,/
warm,large,ripsync-nocow,2.436729,250,5242880000,102.60,2.003839,/
warm,large,ripsync-nocow,4.780526,250,5242880000,52.30,1.021397,/
warm,large,ripsync-nocow,2.054898,250,5242880000,121.66,2.376183,/
warm,large,ripsync-nocow,5.398490,250,5242880000,46.31,0.904477,/
warm,large,ripsync-nocow,3.074446,250,5242880000,81.32,1.588193,/
warm,large,ripsync-nocow,4.414012,250,5242880000,56.64,1.106207,/
warm,large,ripsync-nocow,6.825085,250,5242880000,36.63,0.715421,/
warm,large,rsync,12.955196,250,5242880000,19.30,0.376900,/
warm,large,rsync,6.224598,250,5242880000,40.16,0.784438,/
warm,large,rsync,6.508364,250,5242880000,38.41,0.750236,/
warm,large,rsync,7.088423,250,5242880000,35.27,0.688843,/
warm,large,rsync,8.635558,250,5242880000,28.95,0.565431,/
warm,large,rsync,6.695289,250,5242880000,37.34,0.729291,/
warm,large,rsync,6.352543,250,5242880000,39.35,0.768639,/
warm,large,rsync,6.420783,250,5242880000,38.94,0.760470,/
warm,large,rsync,6.691139,250,5242880000,37.36,0.729743,/
warm,large,rsync,8.439127,250,5242880000,29.62,0.578592,/
warm,resync-changed,ripsync-cow,0.958325,100000,1700000,104348.78,0.001652,/
warm,resync-changed,ripsync-cow,1.342131,100000,1700000,74508.40,0.001180,/
warm,resync-changed,ripsync-cow,0.865516,100000,1700000,115537.99,0.001829,/
warm,resync-changed,ripsync-cow,0.742648,100000,1700000,134653.25,0.002132,/
warm,resync-changed,ripsync-cow,0.899010,100000,1700000,111233.47,0.001761,/
warm,resync-changed,ripsync-cow,0.874057,100000,1700000,114408.95,0.001811,/
warm,resync-changed,ripsync-cow,0.885808,100000,1700000,112891.31,0.001787,/
warm,resync-changed,ripsync-cow,0.785029,100000,1700000,127383.85,0.002017,/
warm,resync-changed,ripsync-cow,0.875373,100000,1700000,114236.97,0.001809,/
warm,resync-changed,ripsync-cow,0.809579,100000,1700000,123521.02,0.001956,/
warm,resync-changed,ripsync-nocow,0.946528,100000,1700000,105649.31,0.001673,/
warm,resync-changed,ripsync-nocow,0.888368,100000,1700000,112566.01,0.001782,/
warm,resync-changed,ripsync-nocow,0.804174,100000,1700000,124351.22,0.001969,/
warm,resync-changed,ripsync-nocow,0.471219,100000,1700000,212215.48,0.003360,/
warm,resync-changed,ripsync-nocow,0.515184,100000,1700000,194105.49,0.003073,/
warm,resync-changed,ripsync-nocow,0.509006,100000,1700000,196461.45,0.003110,/
warm,resync-changed,ripsync-nocow,0.460152,100000,1700000,217319.49,0.003441,/
warm,resync-changed,ripsync-nocow,0.470870,100000,1700000,212372.84,0.003362,/
warm,resync-changed,ripsync-nocow,0.454156,100000,1700000,220188.76,0.003486,/
warm,resync-changed,ripsync-nocow,0.483804,100000,1700000,206695.31,0.003273,/
warm,resync-changed,rsync,0.528484,100000,1700000,189220.34,0.002996,/
warm,resync-changed,rsync,0.552943,100000,1700000,180850.47,0.002863,/
warm,resync-changed,rsync,0.485671,100000,1700000,205900.86,0.003260,/
warm,resync-changed,rsync,0.543025,100000,1700000,184153.65,0.002916,/
warm,resync-changed,rsync,0.535786,100000,1700000,186641.83,0.002955,/
warm,resync-changed,rsync,0.522866,100000,1700000,191253.48,0.003028,/
warm,resync-changed,rsync,0.470391,100000,1700000,212589.18,0.003366,/
warm,resync-changed,rsync,0.544369,100000,1700000,183698.77,0.002908,/
warm,resync-changed,rsync,0.516220,100000,1700000,193715.89,0.003067,/
warm,resync-changed,rsync,0.569895,100000,1700000,175470.79,0.002778,/
